"q_n","n_surveys","n_NAs","question","n","p"
"Was the rabies budget reduced/diverted?",84,3,"Yes",43,51.2
"Was there increased demand for ARV to vets?",36,51,"No",19,52.8
"Was there increased demand for ARV to vets?",36,51,"Yes",17,47.2
"Were staff for rabies surveillance redeployed?",76,11,"No",48,63.2
"Were staff for rabies surveillance redeployed?",76,11,"Yes",28,36.8
"Was the lab capacity diverted/reduced?",79,8,"No",46,58.2
"Was the lab capacity diverted/reduced?",79,8,"Yes",33,41.8
"Is information on dog bites present in emergency guidelines?",66,21,"No",43,65.2
"Is information on dog bites present in emergency guidelines?",66,21,"Yes",23,34.8
"Was the 2020 national report conducted?",63,24,"No",39,61.9
"Was the 2020 national report conducted?",63,24,"Yes",24,38.1
"Was the 2020 milestone achieved?",66,21,"No",34,51.5
"Was the 2020 milestone achieved?",66,21,"Yes",32,48.5
"Is there a one health approach to Rabies?",70,17,"No",17,24.3
"Is there a one health approach to Rabies?",70,17,"Yes",53,75.7
"Was there an impact on WRD events in 2020?",72,15,"Yes, in-person events and mass vaccinations were cancelled",13,18.1
"Was there an impact on WRD events in 2020?",72,15,"Yes, in-person events and mass vaccinations were held but fewer people attended them",21,29.2
"Was there an impact on WRD events in 2020?",72,15,"No, many new online events were organized",15,20.8
"Was there an impact on WRD events in 2020?",72,15,"Yes, all activities and information campaigns were cancelled or postponed",10,13.9
"Was there an impact on WRD events in 2020?",72,15,"No, many in-person events were moved online",8,11.1
"Was there an impact on WRD events in 2020?",72,15,"Other",5,6.9
"Did the number of animal deaths change?",57,30,"Increased cases",18,31.6
"Did the number of animal deaths change?",57,30,"Same",18,31.6
"Did the number of animal deaths change?",57,30,"Decreased cases",21,36.8
"Did the number of animal bites change?",56,31,"Increased cases",9,16.1
"Did the number of animal bites change?",56,31,"Same",20,35.7
"Did the number of animal bites change?",56,31,"Decreased cases",27,48.2
"Did the number of human deaths change?",54,33,"Increased cases",8,14.8
"Did the number of human deaths change?",54,33,"Same",20,37
"Did the number of human deaths change?",54,33,"Decreased cases",26,48.1
"Which sector was most affected?",65,22,"Both have worked well",15,23.1
"Which sector was most affected?",65,22,"Both have been badly affected",31,47.7
"Which sector was most affected?",65,22,"Animal sector",8,12.3
"Which sector was most affected?",65,22,"Human sector",10,15.4
"Which sector was most affected?",65,22,"Other",1,1.5
